T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high_cal,D_TF_low_cal
-48.7000000000,0.0003480029,0.0003663188,0.0003846347,0.0003710582,0.0003580777
-48.6000000000,0.0003478581,0.0003661664,0.0003844747,0.0003709079,0.0003579268
-48.5000000000,0.0003477133,0.0003660140,0.0003843147,0.0003707575,0.0003577759
-48.4000000000,0.0003475685,0.0003658616,0.0003841547,0.0003706071,0.0003576250
-48.3000000000,0.0003474237,0.0003657092,0.0003839947,0.0003704567,0.0003574741
-48.2000000000,0.0003472790,0.0003655568,0.0003838346,0.0003703063,0.0003573232
-48.1000000000,0.0003471342,0.0003654044,0.0003836746,0.0003701560,0.0003571723
-48.0000000000,0.0003469894,0.0003652520,0.0003835146,0.0003700056,0.0003570214
-47.9000000000,0.0003468446,0.0003650996,0.0003833546,0.0003698552,0.0003568704
-47.8000000000,0.0003466998,0.0003649472,0.0003831946,0.0003697048,0.0003567195
-47.7000000000,0.0003465551,0.0003647948,0.0003830345,0.0003695544,0.0003565686
-47.6000000000,0.0003464103,0.0003646424,0.0003828745,0.0003694040,0.0003564177
-47.5000000000,0.0003462655,0.0003644900,0.0003827145,0.0003694465,0.0003564602
-47.4000000000,0.0003461207,0.0003643376,0.0003825545,0.0003692958,0.0003563090
-47.3000000000,0.0003459759,0.0003641852,0.0003823945,0.0003691452,0.0003561578
-47.2000000000,0.0003458312,0.0003640328,0.0003822344,0.0003689945,0.0003560066
-47.1000000000,0.0003456864,0.0003638804,0.0003820744,0.0003688438,0.0003558554
-47.0000000000,0.0003455416,0.0003637280,0.0003819144,0.0003686932,0.0003557042
-46.9000000000,0.0003453968,0.0003635756,0.0003817544,0.0003685425,0.0003555530
-46.8000000000,0.0003452520,0.0003634232,0.0003815944,0.0003683918,0.0003554018
-46.7000000000,0.0003451073,0.0003632708,0.0003814343,0.0003682412,0.0003552506
-46.6000000000,0.0003449625,0.0003631184,0.0003812743,0.0003680905,0.0003550994
-46.5000000000,0.0003448177,0.0003629660,0.0003811143,0.0003679398,0.0003549482
-46.4000000000,0.0003446729,0.0003628136,0.0003809543,0.0003677892,0.0003547970
-46.3000000000,0.0003445281,0.0003626612,0.0003807943,0.0003676385,0.0003546458
-46.2000000000,0.0003443834,0.0003625088,0.0003806342,0.0003674878,0.0003544945
-46.1000000000,0.0003442386,0.0003623564,0.0003804742,0.0003673371,0.0003543433
-46.0000000000,0.0003440938,0.0003622040,0.0003803142,0.0003671865,0.0003541921
-45.9000000000,0.0003439490,0.0003620516,0.0003801542,0.0003670358,0.0003540409
-45.8000000000,0.0003438042,0.0003618992,0.0003799942,0.0003668851,0.0003538897
-45.7000000000,0.0003436595,0.0003617468,0.0003798341,0.0003667344,0.0003537384
-45.6000000000,0.0003435147,0.0003615944,0.0003796741,0.0003665837,0.0003535872
-45.5000000000,0.0003433699,0.0003614420,0.0003795141,0.0003664330,0.0003534360
-45.4000000000,0.0003432251,0.0003612896,0.0003793541,0.0003662824,0.0003532848
-45.3000000000,0.0003430803,0.0003611372,0.0003791941,0.0003661317,0.0003531335
-45.2000000000,0.0003429356,0.0003609848,0.0003790340,0.0003659810,0.0003529823
-45.1000000000,0.0003427908,0.0003608324,0.0003788740,0.0003658303,0.0003528311
-45.0000000000,0.0003426460,0.0003606800,0.0003787140,0.0003656796,0.0003526798
-44.9000000000,0.0003425012,0.0003605276,0.0003785540,0.0003655289,0.0003525286
-44.8000000000,0.0003423564,0.0003603752,0.0003783940,0.0003653782,0.0003523774
-44.7000000000,0.0003422117,0.0003602228,0.0003782339,0.0003652275,0.0003522261
-44.6000000000,0.0003420669,0.0003600704,0.0003780739,0.0003650768,0.0003520749
