T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high,D_TF_low,D_TF_mean
-47.2000000000,0.0003458312,0.0003640328,0.0003822344,0.0003938064,0.0003197912,0.0003571658
-47.1000000000,0.0003456864,0.0003638804,0.0003820744,0.0003936559,0.0003196396,0.0003570149
-47.0000000000,0.0003455416,0.0003637280,0.0003819144,0.0003935054,0.0003194880,0.0003568641
-46.9000000000,0.0003453968,0.0003635756,0.0003817544,0.0003933549,0.0003193364,0.0003567132
-46.8000000000,0.0003452520,0.0003634232,0.0003815944,0.0003932043,0.0003191848,0.0003565624
-46.7000000000,0.0003451073,0.0003632708,0.0003814343,0.0003930538,0.0003190332,0.0003564115
-46.6000000000,0.0003449625,0.0003631184,0.0003812743,0.0003929033,0.0003188816,0.0003562607
-46.5000000000,0.0003448177,0.0003629660,0.0003811143,0.0003927527,0.0003187300,0.0003561098
-46.4000000000,0.0003446729,0.0003628136,0.0003809543,0.0003926022,0.0003185784,0.0003559590
-46.3000000000,0.0003445281,0.0003626612,0.0003807943,0.0003924517,0.0003184268,0.0003558081
-46.2000000000,0.0003443834,0.0003625088,0.0003806342,0.0003923011,0.0003182752,0.0003556573
-46.1000000000,0.0003442386,0.0003623564,0.0003804742,0.0003921506,0.0003181236,0.0003555064
-46.0000000000,0.0003440938,0.0003622040,0.0003803142,0.0003920000,0.0003179720,0.0003553555
-45.9000000000,0.0003439490,0.0003620516,0.0003801542,0.0003918495,0.0003178204,0.0003552047
-45.8000000000,0.0003438042,0.0003618992,0.0003799942,0.0003916990,0.0003176687,0.0003550538
-45.7000000000,0.0003436595,0.0003617468,0.0003798341,0.0003915484,0.0003175171,0.0003549029
-45.6000000000,0.0003435147,0.0003615944,0.0003796741,0.0003913979,0.0003173655,0.0003547521
-45.5000000000,0.0003433699,0.0003614420,0.0003795141,0.0003912473,0.0003172139,0.0003546012
-45.4000000000,0.0003432251,0.0003612896,0.0003793541,0.0003910968,0.0003170622,0.0003544503
-45.3000000000,0.0003430803,0.0003611372,0.0003791941,0.0003909462,0.0003169106,0.0003542994
-45.2000000000,0.0003429356,0.0003609848,0.0003790340,0.0003907957,0.0003167590,0.0003541486
-45.1000000000,0.0003427908,0.0003608324,0.0003788740,0.0003906451,0.0003166073,0.0003539977
-45.0000000000,0.0003426460,0.0003606800,0.0003787140,0.0003904946,0.0003164557,0.0003538468
-44.9000000000,0.0003425012,0.0003605276,0.0003785540,0.0003903440,0.0003163041,0.0003536959
-44.8000000000,0.0003423564,0.0003603752,0.0003783940,0.0003901935,0.0003161524,0.0003535450
-44.7000000000,0.0003422117,0.0003602228,0.0003782339,0.0003900429,0.0003160008,0.0003533942
-44.6000000000,0.0003420669,0.0003600704,0.0003780739,0.0003898924,0.0003158491,0.0003532433
-44.5000000000,0.0003419221,0.0003599180,0.0003779139,0.0003897418,0.0003156975,0.0003530924
-44.4000000000,0.0003417773,0.0003597656,0.0003777539,0.0003895912,0.0003155458,0.0003529415
-44.3000000000,0.0003416325,0.0003596132,0.0003775939,0.0003894407,0.0003153942,0.0003527906
-44.2000000000,0.0003414878,0.0003594608,0.0003774338,0.0003892901,0.0003152425,0.0003526397
-44.1000000000,0.0003413430,0.0003593084,0.0003772738,0.0003891396,0.0003150908,0.0003524888
-44.0000000000,0.0003411982,0.0003591560,0.0003771138,0.0003889890,0.0003149392,0.0003523379
-43.9000000000,0.0003410534,0.0003590036,0.0003769538,0.0003888384,0.0003147875,0.0003521870
-43.8000000000,0.0003409086,0.0003588512,0.0003767938,0.0003886879,0.0003146358,0.0003520361
-43.7000000000,0.0003407639,0.0003586988,0.0003766337,0.0003885373,0.0003144842,0.0003518852
-43.6000000000,0.0003406191,0.0003585464,0.0003764737,0.0003883867,0.0003143325,0.0003517343
-43.5000000000,0.0003404743,0.0003583940,0.0003763137,0.0003882362,0.0003141808,0.0003515834
-43.4000000000,0.0003403295,0.0003582416,0.0003761537,0.0003880856,0.0003140291,0.0003514325
-43.3000000000,0.0003401847,0.0003580892,0.0003759937,0.0003879350,0.0003138775,0.0003512816
-43.2000000000,0.0003400400,0.0003579368,0.0003758336,0.0003877845,0.0003137258,0.0003511307
-43.1000000000,0.0003398952,0.0003577844,0.0003756736,0.0003876339,0.0003135741,0.0003509798
-43.0000000000,0.0003397504,0.0003576320,0.0003755136,0.0003874833,0.0003134224,0.0003508289
-42.9000000000,0.0003396056,0.0003574796,0.0003753536,0.0003873327,0.0003132707,0.0003506780
-42.8000000000,0.0003394608,0.0003573272,0.0003751936,0.0003871821,0.0003131190,0.0003505271
-42.7000000000,0.0003393161,0.0003571748,0.0003750335,0.0003870316,0.0003129673,0.0003503762
-42.6000000000,0.0003391713,0.0003570224,0.0003748735,0.0003868810,0.0003128156,0.0003502252
-42.5000000000,0.0003390265,0.0003568700,0.0003747135,0.0003869098,0.0003128448,0.0003502542
-42.4000000000,0.0003388817,0.0003567176,0.0003745535,0.0003867589,0.0003126928,0.0003501030
-42.3000000000,0.0003387369,0.0003565652,0.0003743935,0.0003866081,0.0003125408,0.0003499518
-42.2000000000,0.0003385922,0.0003564128,0.0003742334,0.0003864572,0.0003123888,0.0003498006
-42.1000000000,0.0003384474,0.0003562604,0.0003740734,0.0003863064,0.0003122369,0.0003496494
-42.0000000000,0.0003383026,0.0003561080,0.0003739134,0.0003861555,0.0003120849,0.0003494982
-41.9000000000,0.0003381578,0.0003559556,0.0003737534,0.0003860047,0.0003119329,0.0003493470
-41.8000000000,0.0003380130,0.0003558032,0.0003735934,0.0003858538,0.0003117809,0.0003491958
-41.7000000000,0.0003378683,0.0003556508,0.0003734333,0.0003857030,0.0003116289,0.0003490446
-41.6000000000,0.0003377235,0.0003554984,0.0003732733,0.0003855521,0.0003114769,0.0003488934
-41.5000000000,0.0003375787,0.0003553460,0.0003731133,0.0003854013,0.0003113249,0.0003487422
-41.4000000000,0.0003374339,0.0003551936,0.0003729533,0.0003852504,0.0003111729,0.0003485910
-41.3000000000,0.0003372891,0.0003550412,0.0003727933,0.0003850995,0.0003110209,0.0003484398
-41.2000000000,0.0003371444,0.0003548888,0.0003726332,0.0003849487,0.0003108689,0.0003482886
-41.1000000000,0.0003369996,0.0003547364,0.0003724732,0.0003847978,0.0003107169,0.0003481374
-41.0000000000,0.0003368548,0.0003545840,0.0003723132,0.0003846469,0.0003105649,0.0003479862
-40.9000000000,0.0003367100,0.0003544316,0.0003721532,0.0003844961,0.0003104129,0.0003478350
-40.8000000000,0.0003365652,0.0003542792,0.0003719932,0.0003843452,0.0003102609,0.0003476838
-40.7000000000,0.0003364205,0.0003541268,0.0003718331,0.0003841943,0.0003101089,0.0003475326
-40.6000000000,0.0003362757,0.0003539744,0.0003716731,0.0003840435,0.0003099569,0.0003473814
-40.5000000000,0.0003361309,0.0003538220,0.0003715131,0.0003838926,0.0003098049,0.0003472301
-40.4000000000,0.0003359861,0.0003536696,0.0003713531,0.0003837417,0.0003096528,0.0003470789
-40.3000000000,0.0003358413,0.0003535172,0.0003711931,0.0003835909,0.0003095008,0.0003469277
-40.2000000000,0.0003356966,0.0003533648,0.0003710330,0.0003834400,0.0003093488,0.0003467765
-40.1000000000,0.0003355518,0.0003532124,0.0003708730,0.0003832891,0.0003091968,0.0003466252
-40.0000000000,0.0003354070,0.0003530600,0.0003707130,0.0003831382,0.0003090447,0.0003464740
-39.9000000000,0.0003352622,0.0003529076,0.0003705530,0.0003829874,0.0003088927,0.0003463228
-39.8000000000,0.0003351174,0.0003527552,0.0003703930,0.0003828365,0.0003087406,0.0003461716
-39.7000000000,0.0003349727,0.0003526028,0.0003702329,0.0003826856,0.0003085886,0.0003460203
-39.6000000000,0.0003348279,0.0003524504,0.0003700729,0.0003825347,0.0003084366,0.0003458691
-39.5000000000,0.0003346831,0.0003522980,0.0003699129,0.0003823838,0.0003082845,0.0003457179
-39.4000000000,0.0003345383,0.0003521456,0.0003697529,0.0003822329,0.0003081325,0.0003455666
-39.3000000000,0.0003343935,0.0003519932,0.0003695929,0.0003820821,0.0003079804,0.0003454154
-39.2000000000,0.0003342488,0.0003518408,0.0003694328,0.0003819312,0.0003078284,0.0003452642
-39.1000000000,0.0003341040,0.0003516884,0.0003692728,0.0003817803,0.0003076763,0.0003451129
-39.0000000000,0.0003339592,0.0003515360,0.0003691128,0.0003816294,0.0003075242,0.0003449617
-38.9000000000,0.0003338144,0.0003513836,0.0003689528,0.0003814785,0.0003073722,0.0003448104
-38.8000000000,0.0003336696,0.0003512312,0.0003687928,0.0003813276,0.0003072201,0.0003446592
-38.7000000000,0.0003335249,0.0003510788,0.0003686327,0.0003811767,0.0003070680,0.0003445079
-38.6000000000,0.0003333801,0.0003509264,0.0003684727,0.0003810258,0.0003069160,0.0003443567
-38.5000000000,0.0003332353,0.0003507740,0.0003683127,0.0003808749,0.0003067639,0.0003442054
-38.4000000000,0.0003330905,0.0003506216,0.0003681527,0.0003807240,0.0003066118,0.0003440542
-38.3000000000,0.0003329457,0.0003504692,0.0003679927,0.0003805731,0.0003064597,0.0003439029
-38.2000000000,0.0003328010,0.0003503168,0.0003678326,0.0003804222,0.0003063076,0.0003437517
-38.1000000000,0.0003326562,0.0003501644,0.0003676726,0.0003802713,0.0003061556,0.0003436004
-38.0000000000,0.0003325114,0.0003500120,0.0003675126,0.0003801204,0.0003060035,0.0003434492
-37.9000000000,0.0003323666,0.0003498596,0.0003673526,0.0003799695,0.0003058514,0.0003432979
-37.8000000000,0.0003322218,0.0003497072,0.0003671926,0.0003798186,0.0003056993,0.0003431466
-37.7000000000,0.0003320771,0.0003495548,0.0003670325,0.0003796677,0.0003055472,0.0003429954
-37.6000000000,0.0003319323,0.0003494024,0.0003668725,0.0003795168,0.0003053951,0.0003428441
-37.5000000000,0.0003317875,0.0003492500,0.0003667125,0.0003794490,0.0003053268,0.0003427761
-37.4000000000,0.0003316427,0.0003490976,0.0003665525,0.0003792979,0.0003051745,0.0003426247
-37.3000000000,0.0003314979,0.0003489452,0.0003663925,0.0003791469,0.0003050223,0.0003424733
-37.2000000000,0.0003313532,0.0003487928,0.0003662324,0.0003789958,0.0003048701,0.0003423219
-37.1000000000,0.0003312084,0.0003486404,0.0003660724,0.0003788448,0.0003047178,0.0003421705
-37.0000000000,0.0003310636,0.0003484880,0.0003659124,0.0003786938,0.0003045656,0.0003420191
-36.9000000000,0.0003309188,0.0003483356,0.0003657524,0.0003785427,0.0003044133,0.0003418677
-36.8000000000,0.0003307740,0.0003481832,0.0003655924,0.0003783917,0.0003042611,0.0003417163
-36.7000000000,0.0003306293,0.0003480308,0.0003654323,0.0003782406,0.0003041088,0.0003415649
-36.6000000000,0.0003304845,0.0003478784,0.0003652723,0.0003780896,0.0003039565,0.0003414134
-36.5000000000,0.0003303397,0.0003477260,0.0003651123,0.0003779385,0.0003038043,0.0003412620
-36.4000000000,0.0003301949,0.0003475736,0.0003649523,0.0003777874,0.0003036520,0.0003411106
-36.3000000000,0.0003300501,0.0003474212,0.0003647923,0.0003776364,0.0003034997,0.0003409592
-36.2000000000,0.0003299054,0.0003472688,0.0003646322,0.0003774853,0.0003033475,0.0003408078
-36.1000000000,0.0003297606,0.0003471164,0.0003644722,0.0003773343,0.0003031952,0.0003406563
-36.0000000000,0.0003296158,0.0003469640,0.0003643122,0.0003771832,0.0003030429,0.0003405049
-35.9000000000,0.0003294710,0.0003468116,0.0003641522,0.0003770321,0.0003028906,0.0003403535
-35.8000000000,0.0003293262,0.0003466592,0.0003639922,0.0003768811,0.0003027384,0.0003402020
-35.7000000000,0.0003291815,0.0003465068,0.0003638321,0.0003767300,0.0003025861,0.0003400506
-35.6000000000,0.0003290367,0.0003463544,0.0003636721,0.0003765790,0.0003024338,0.0003398992
-35.5000000000,0.0003288919,0.0003462020,0.0003635121,0.0003764279,0.0003022815,0.0003397477
-35.4000000000,0.0003287471,0.0003460496,0.0003633521,0.0003762768,0.0003021292,0.0003395963
-35.3000000000,0.0003286023,0.0003458972,0.0003631921,0.0003761258,0.0003019769,0.0003394449
-35.2000000000,0.0003284576,0.0003457448,0.0003630320,0.0003759747,0.0003018246,0.0003392934
-35.1000000000,0.0003283128,0.0003455924,0.0003628720,0.0003758236,0.0003016723,0.0003391420
-35.0000000000,0.0003281680,0.0003454400,0.0003627120,0.0003756725,0.0003015200,0.0003389905
-34.9000000000,0.0003280232,0.0003452876,0.0003625520,0.0003755215,0.0003013677,0.0003388391
-34.8000000000,0.0003278784,0.0003451352,0.0003623920,0.0003753704,0.0003012154,0.0003386876
-34.7000000000,0.0003277337,0.0003449828,0.0003622319,0.0003752193,0.0003010631,0.0003385362
-34.6000000000,0.0003275889,0.0003448304,0.0003620719,0.0003750682,0.0003009107,0.0003383847
-34.5000000000,0.0003274441,0.0003446780,0.0003619119,0.0003749171,0.0003007584,0.0003382333
-34.4000000000,0.0003272993,0.0003445256,0.0003617519,0.0003747661,0.0003006061,0.0003380818
-34.3000000000,0.0003271545,0.0003443732,0.0003615919,0.0003746150,0.0003004538,0.0003379304
-34.2000000000,0.0003270098,0.0003442208,0.0003614318,0.0003744639,0.0003003014,0.0003377789
-34.1000000000,0.0003268650,0.0003440684,0.0003612718,0.0003743128,0.0003001491,0.0003376274
-34.0000000000,0.0003267202,0.0003439160,0.0003611118,0.0003741617,0.0002999968,0.0003374760
-33.9000000000,0.0003265754,0.0003437636,0.0003609518,0.0003740106,0.0002998444,0.0003373245
-33.8000000000,0.0003264306,0.0003436112,0.0003607918,0.0003738595,0.0002996921,0.0003371730
-33.7000000000,0.0003262859,0.0003434588,0.0003606317,0.0003737085,0.0002995397,0.0003370216
-33.6000000000,0.0003261411,0.0003433064,0.0003604717,0.0003735574,0.0002993874,0.0003368701
-33.5000000000,0.0003259963,0.0003431540,0.0003603117,0.0003734063,0.0002992350,0.0003367186
-33.4000000000,0.0003258515,0.0003430016,0.0003601517,0.0003732552,0.0002990827,0.0003365672
-33.3000000000,0.0003257067,0.0003428492,0.0003599917,0.0003731041,0.0002989303,0.0003364157
-33.2000000000,0.0003255620,0.0003426968,0.0003598316,0.0003729530,0.0002987780,0.0003362642
-33.1000000000,0.0003254172,0.0003425444,0.0003596716,0.0003728019,0.0002986256,0.0003361127
-33.0000000000,0.0003252724,0.0003423920,0.0003595116,0.0003726508,0.0002984732,0.0003359612
-32.9000000000,0.0003251276,0.0003422396,0.0003593516,0.0003724997,0.0002983209,0.0003358097
-32.8000000000,0.0003249828,0.0003420872,0.0003591916,0.0003723486,0.0002981685,0.0003356583
-32.7000000000,0.0003248381,0.0003419348,0.0003590315,0.0003721975,0.0002980161,0.0003355068
-32.6000000000,0.0003246933,0.0003417824,0.0003588715,0.0003720464,0.0002978638,0.0003353553
-32.5000000000,0.0003245485,0.0003416300,0.0003587115,0.0003719717,0.0002977885,0.0003352805
